Tickets: 6016
Sets: 420

+-------------------------------------------------------------+-----+----+----+----+----+----+------+
|                             addr                            |  1  | 2  | 3  | 4  | 5  | 6  | sets |
+-------------------------------------------------------------+-----+----+----+----+----+----+------+
| stake17ykfvl6t62y5fvryvtsnch3lt406dcpls4n4d9pcekpnumg6v83tq |  3  | 0  | 5  | 6  | 4  | 0  |  0   |
| stake1u800pu4lykgf2aj7urknjlpv2u2ewws7y3g5qss5r4hz4hscdtu4n |  4  | 4  | 4  | 4  | 4  | 2  |  2   |
| stake1u80e5z8ufmjcgzx9zl3pawshhdd4lkpt5fwmd6sjy6atq6qr7ptaw |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u82cq5c5yw34nvyz0688elerkjdgp5kaqkr6r5ku4fs5rwsd2l6yl |  5  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u82p5w7jst9xhm2e5altlxmmwtn8ecul54dk2dmf2qahvnge2nze0 |  1  | 1  | 0  | 0  | 1  | 1  |  1   |
| stake1u82t298dvfag4pw5z4wam7x6fxptvs6tlextm95llhxf9jslhwnk7 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u82x9vkanrytrl2n8jl2sgkexzu4apjk3k3nm5355nxcjmcn07jgr |  10 | 0  | 0  | 20 | 0  | 0  |  0   |
| stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda |  6  | 8  | 0  | 0  | 0  | 0  |  0   |
| stake1u837qrf9mjxgtnaqxajqrgwk3nhttp8k9c3kldva8duz6esyqacrq |  2  | 2  | 5  | 7  | 3  | 7  |  5   |
| stake1u839f0xhzvl6ckj6uj56te4axxycc7c00lfa9addrk7ex6she4gl9 |  6  | 1  | 3  | 10 | 10 | 11 |  10  |
| stake1u83nk77gyy2xmse3h4e6kadhlpfw59u89fz7405efmza76gx6ev59 |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u83qdlugxgwcnhf8ufrdl94xyc4m578lz2pkuhdvj6az28qmntj7j |  5  | 5  | 0  | 1  | 0  | 1  |  1   |
| stake1u84taf9p83urtlncl8hkhhhg4ezx4t6ff2d75herfz7adrsnuw3gx |  1  | 2  | 2  | 2  | 2  | 0  |  0   |
| stake1u85chxesujslp6d3s0zw905lnxep7yxwrmmvkxlw5xxjp7ggqs8en |  20 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u86k3d5wyxqmskuu7jr93fky3gsz048ah0qnlqcdrn2s97q88qsak |  5  | 0  | 0  | 0  | 5  | 0  |  0   |
| stake1u86nd82pnrd08au0ftanp7zrxulv9fcachg6ej3afs6q5cg7w0f2f |  3  | 2  | 5  | 18 | 42 | 5  |  5   |
| stake1u86qhghgl3u62uu0qcc6aldlrxm24m0x86xjr2d5ml6yymclnyysd |  10 | 0  | 0  | 10 | 0  | 0  |  0   |
| stake1u87675pluy23vhta0x6y65xm8mt394vduz84zuyw83chlng0zpt0c |  7  | 5  | 7  | 10 | 10 | 13 |  12  |
| stake1u88ra034x9awgqpe56n0wzmr29q3yuyuudka549n0x5pkaq3983ha |  2  | 0  | 5  | 3  | 5  | 5  |  5   |
| stake1u88sjszh5w6jgc9k7eguwtsuusr9m29wdmqzs8hvsczxxzsdxzyu5 |  9  | 1  | 1  | 1  | 1  | 1  |  1   |
| stake1u88zezu4769mh2ujx2x7y5dhwfen6prsh7zee4cxhhjzqpq55vfmu |  2  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u89f8uw89ux8n6etljezm29glazrdn7r0xm8lq2l4tj8yhsk8jtg7 |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8ahkedly3cpn8u20lh93tn8j9spvuxdqr7cryjr0wsdq4cvfg9cv |  2  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8cqq3dx53vxv5n32etzrrkmgkavpssj4erhjvhlajct9gsc5r74l |  3  | 1  | 1  | 1  | 3  | 3  |  3   |
| stake1u8czcc52rrp60x7w4pxdyegl5mkltf9jdxl86yarh888p2qumfsuz |  1  | 0  | 1  | 0  | 11 | 0  |  0   |
| stake1u8d5jgl3xyg9437x3une7g96ch4snytv90d3ps8xur0dggge28nw7 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8dtrst6f9sazx3nf7lztvtxc8uamv9rfvwxh90l9eldmfqvfn4ge |  2  | 1  | 1  | 1  | 2  | 2  |  2   |
| stake1u8e36hppe4qr0d5q656rkhddfpthfm6yfjrwmtud48k303qktzyul |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8efe8ye8x9v70as5uzgrxqufllsmry4nvta8g524wtyw5cvuuf2x |  32 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8em25hrfm2fmg832wmh9ru6dnqf48hwtquu7fq835vgv6sa0g82c |  1  | 0  | 0  | 2  | 1  | 2  |  1   |
| stake1u8evkuplhplawe09gzq0zgqr0qc0pkcnck4l3nt59sejazqp7yceu |  2  | 3  | 0  | 0  | 0  | 0  |  0   |
| stake1u8fsr2ckhq0vvqdz9d06pveqejy60033dmxlserqa08xwzgtue2sp |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8g6xdalylx6y7mk33qlmy282wchy0acqr7q2947rkkgafqy2w7lq |  2  | 0  | 0  | 2  | 4  | 1  |  1   |
| stake1u8gjlm7zpx8rltwpdhattxu76459sr5pj2z46pjau7gnmxqf5m2kd | 140 | 42 | 49 | 10 | 0  | 0  |  0   |
| stake1u8hx9x8fz820qt9l4yygz5hhtv06el8clxv6y0eppzfku6s23a222 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8j4qr2zjexl9exlgn0grnvettz7fq7nklg2enyusw4zdqs6am02m |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8jmt8sq5s2h6z2v2w2lm9vkyrqrvh4kkjg3ekjwrujw2uq528uf4 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8k4h3vp0l90maqs8zwk7pgml7axm6z0rls9933rzh3dpvqjmqrlu |  10 | 10 | 22 | 10 | 10 | 16 |  16  |
| stake1u8k4qpfwx65xstw3vhzfvfrt2jh34zsnx882nwgdwxs0smqe0qd7n |  5  | 2  | 0  | 0  | 0  | 0  |  0   |
| stake1u8k7695ejrvp9wtultrrqujsqg6sx9luypz6h4sr0t645rqzz4kpw |  1  | 0  | 1  | 1  | 0  | 1  |  1   |
| stake1u8k8cg9er7dy66xnzs34ahyvf9thluhl5vjrh9dkxxed35qkehgs3 |  9  | 0  | 0  | 9  | 0  | 0  |  0   |
| stake1u8kf7dy8mmlhdsl0h7m7aq50r86zsuv67rxy3ml8p9x7vfgvmqf5y |  5  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8l4czjh0wxprk5ylhl20l5xdujurf2fapml9lqvy09dpsgwpcefw |  10 | 0  | 6  | 4  | 10 | 10 |  10  |
| stake1u8lk83x002dgeqcxcz2g68hehf08dhu0dm3pscm0mc0u69g5vynwk |  4  | 4  | 4  | 4  | 4  | 2  |  2   |
| stake1u8ly582s89w375595t88e72nfw9nwrx7t85ea9hnvkk8trsuxuat7 |  1  | 0  | 0  | 1  | 1  | 1  |  1   |
| stake1u8m9685a2kzxrj9wmdjx3xh8t70jdqhmxdxfkc3e6g3hvesky2c6s |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8mhm45qefrtuygc055gm6c8dks8y0e2pndjj9pls2mm6ycgtr5w3 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8n0mantw52nwv3t0w4cp6fhxrvr49zxnnpskxlnz4ldjcg8lj0fy |  1  | 3  | 1  | 3  | 3  | 5  |  3   |
| stake1u8n24fhu2r4wxx02nndpwscfcws2l7q872auatzexnn5pccmlytp2 |  6  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8nk5lh8g7clq7mp0ed54nn9zfn78akzecy7xpxhmsh4wtc2e2djv |  1  | 4  | 2  | 0  | 0  | 0  |  0   |
| stake1u8nn8vkc4lsnqa3tl88hr3kn3xmnm0p6n56cpuu0fu0esvsw8e7f2 |  9  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8p38qy82hnkkkkgpacn2702rgu9rht6lly5vu0l3jntkngnze95f |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8p623zj4ssejezy04agtw0l5u4wthswdfy72czcxpqhldsp9qcwm |  9  | 0  | 0  | 1  | 0  | 0  |  0   |
| stake1u8p7x70dzlm39fenlhxxeg04jr0crs6fhk70l6n43ztwwvg3te96r |  4  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8pyaffnvcvzu29v6nzr8e4dx056pv7a3j0zf6utw3yudugssfm89 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8q568tvxsaw9evsvc9aplxm4jnc07udl86dw2mpp29cqegp2l5j4 |  6  | 5  | 6  | 5  | 5  | 5  |  5   |
