addr1q9zf6rdam42msn8pcdctusetlzum9h5zhxtfwlp7rlm0cehdt0zczl72lh6pqwyaduz3hla6dh5y78lq2trzx90z6zcqmxntul: RaffleforUkraineOGBookio 
addr1qxqlzzedw508hsnpnazmn3wt07gqtgpzf6xjpwdd6acff62cufugk2jupgh0djx0mkfsnzqamvr73ac0z3uu4cah3c9qk6ntrg: GoldHamlet0016 
addr1q8gvhy2ypx8j9swad94wpvcwneh3w5d3jl9297vn75ckkataskj9ysucz9gl3gnyskax3us0fam3yu8ngwlsc9f0e5vsdhygwr: GoldRaffleWhale0003 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook107 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook1166 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook1247 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook236 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook540 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook788 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook855 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook953 
