addr1qy6mfzvyevq900sdn2m5z3m9prjrxhwx5an56n4gqp2fpmldt0zczl72lh6pqwyaduz3hla6dh5y78lq2trzx90z6zcqlw0vp2: RaffleforUkraineOGBookio 
addr1qxrdajnnnp0n9xqj4jc9apltlqhal4hs8qqn42ac7fw9rzs0lf24wrsjmhpjw48cjk26zfpulhqagvlhmvry657yq72s23twd0: GoldHamlet0016 
addr1q8gvhy2ypx8j9swad94wpvcwneh3w5d3jl9297vn75ckkataskj9ysucz9gl3gnyskax3us0fam3yu8ngwlsc9f0e5vsdhygwr: GoldRaffleWhale0003 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook107 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook1166 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook1247 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook236 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook540 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook788 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook855 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook953 
addr1q86atsvce4xzgs7p632gfa0hkaf75vdpm8e6x7jewcekpc6h5ppnyhemyvneqs575hk50negydcsk4f3f4lfdhfwfwksdlm43h: RaffleforUkraineOGBook686 
addr1qydn0s95pup4hnwzszh7fhymx2skjk7uxw9esut846vlewgwrfcyyskz6dn87ayd8n33vf4vc67x2ugkg638aqp7y49qt0gm7n: RaffleforUkraineOGBook1355 
addr1qydn0s95pup4hnwzszh7fhymx2skjk7uxw9esut846vlewgwrfcyyskz6dn87ayd8n33vf4vc67x2ugkg638aqp7y49qt0gm7n: RaffleforUkraineOGBook1500 
addr1qydn0s95pup4hnwzszh7fhymx2skjk7uxw9esut846vlewgwrfcyyskz6dn87ayd8n33vf4vc67x2ugkg638aqp7y49qt0gm7n: RaffleforUkraineOGBook1679 
addr1qydn0s95pup4hnwzszh7fhymx2skjk7uxw9esut846vlewgwrfcyyskz6dn87ayd8n33vf4vc67x2ugkg638aqp7y49qt0gm7n: RaffleforUkraineOGBook1714 
addr1qydn0s95pup4hnwzszh7fhymx2skjk7uxw9esut846vlewgwrfcyyskz6dn87ayd8n33vf4vc67x2ugkg638aqp7y49qt0gm7n: RaffleforUkraineOGBook474 
addr1qydn0s95pup4hnwzszh7fhymx2skjk7uxw9esut846vlewgwrfcyyskz6dn87ayd8n33vf4vc67x2ugkg638aqp7y49qt0gm7n: RaffleforUkraineOGBook544 
addr1qydn0s95pup4hnwzszh7fhymx2skjk7uxw9esut846vlewgwrfcyyskz6dn87ayd8n33vf4vc67x2ugkg638aqp7y49qt0gm7n: RaffleforUkraineOGBook665 
addr1qydn0s95pup4hnwzszh7fhymx2skjk7uxw9esut846vlewgwrfcyyskz6dn87ayd8n33vf4vc67x2ugkg638aqp7y49qt0gm7n: RaffleforUkraineOGBook783 
addr1qydn0s95pup4hnwzszh7fhymx2skjk7uxw9esut846vlewgwrfcyyskz6dn87ayd8n33vf4vc67x2ugkg638aqp7y49qt0gm7n: RaffleforUkraineOGBook931 
addr1qydn0s95pup4hnwzszh7fhymx2skjk7uxw9esut846vlewgwrfcyyskz6dn87ayd8n33vf4vc67x2ugkg638aqp7y49qt0gm7n: RaffleforUkraineOGBook959 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBook1332 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBook1367 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBook1686 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBook1939Copy 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBook1959 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBook50 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBook517 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBook870 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBook913 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBookWho 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: RaffleforUkraineOGBook1246 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: RaffleforUkraineOGBook1538 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: RaffleforUkraineOGBook1877 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: RaffleforUkraineOGBook1894 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: RaffleforUkraineOGBook1918 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: RaffleforUkraineOGBook205 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: RaffleforUkraineOGBook465 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: RaffleforUkraineOGBook601 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: RaffleforUkraineOGBook723 
addr1qyrqpzqqm8p80elt7nkyl6hkmzcnfcq2zv00s08rj3ptakn2erqsl22sj34apqpuhl6kzm356y0jhg3km9ytdupxactsse67eg: RaffleforUkraineOGBook1632 
addr1q9669cvayvyslxzszazrwmfg2vz76j8a0futsuz5nn90wtagu3jn67rrjxlgaxs02ah0tfgpq8e3h9t0guaf7pjwlnps46dsgu: RaffleforUkraineOGBook1340 
addr1qxp8svtmrngfejv7fn0zmr0sdwq3d3w6puq740axscmlednt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73ql3ue89: RaffleforUkraineOGBook1364 
addr1qxp8svtmrngfejv7fn0zmr0sdwq3d3w6puq740axscmlednt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73ql3ue89: RaffleforUkraineOGBook1908 
addr1qxp8svtmrngfejv7fn0zmr0sdwq3d3w6puq740axscmlednt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73ql3ue89: RaffleforUkraineOGBook191 
addr1qxp8svtmrngfejv7fn0zmr0sdwq3d3w6puq740axscmlednt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73ql3ue89: RaffleforUkraineOGBook1965 
addr1qxp8svtmrngfejv7fn0zmr0sdwq3d3w6puq740axscmlednt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73ql3ue89: RaffleforUkraineOGBook217 
addr1qxp8svtmrngfejv7fn0zmr0sdwq3d3w6puq740axscmlednt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73ql3ue89: RaffleforUkraineOGBook25 
addr1qxp8svtmrngfejv7fn0zmr0sdwq3d3w6puq740axscmlednt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73ql3ue89: RaffleforUkraineOGBook605 
addr1qxp8svtmrngfejv7fn0zmr0sdwq3d3w6puq740axscmlednt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73ql3ue89: RaffleforUkraineOGBook656 
addr1qxp8svtmrngfejv7fn0zmr0sdwq3d3w6puq740axscmlednt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73ql3ue89: RaffleforUkraineOGBook970 
addr1q96ute7heux7u9f3xcq79pqzu2ra7e7chuy7cl5cquapdf9mhhflsealzjz4ntewn5863xrltdvysxxcy87m2875s4aqvq6l9y: RaffleforUkraineOGBook1179 
addr1q96ute7heux7u9f3xcq79pqzu2ra7e7chuy7cl5cquapdf9mhhflsealzjz4ntewn5863xrltdvysxxcy87m2875s4aqvq6l9y: RaffleforUkraineOGBook1202 
addr1q96ute7heux7u9f3xcq79pqzu2ra7e7chuy7cl5cquapdf9mhhflsealzjz4ntewn5863xrltdvysxxcy87m2875s4aqvq6l9y: RaffleforUkraineOGBook1872 
addr1q96ute7heux7u9f3xcq79pqzu2ra7e7chuy7cl5cquapdf9mhhflsealzjz4ntewn5863xrltdvysxxcy87m2875s4aqvq6l9y: RaffleforUkraineOGBook1887 
addr1q96ute7heux7u9f3xcq79pqzu2ra7e7chuy7cl5cquapdf9mhhflsealzjz4ntewn5863xrltdvysxxcy87m2875s4aqvq6l9y: RaffleforUkraineOGBook1919 
addr1q96ute7heux7u9f3xcq79pqzu2ra7e7chuy7cl5cquapdf9mhhflsealzjz4ntewn5863xrltdvysxxcy87m2875s4aqvq6l9y: RaffleforUkraineOGBook1920 
addr1q96ute7heux7u9f3xcq79pqzu2ra7e7chuy7cl5cquapdf9mhhflsealzjz4ntewn5863xrltdvysxxcy87m2875s4aqvq6l9y: RaffleforUkraineOGBook426 
addr1q96ute7heux7u9f3xcq79pqzu2ra7e7chuy7cl5cquapdf9mhhflsealzjz4ntewn5863xrltdvysxxcy87m2875s4aqvq6l9y: RaffleforUkraineOGBook575 
addr1q96ute7heux7u9f3xcq79pqzu2ra7e7chuy7cl5cquapdf9mhhflsealzjz4ntewn5863xrltdvysxxcy87m2875s4aqvq6l9y: RaffleforUkraineOGBook621 
addr1q96ute7heux7u9f3xcq79pqzu2ra7e7chuy7cl5cquapdf9mhhflsealzjz4ntewn5863xrltdvysxxcy87m2875s4aqvq6l9y: RaffleforUkraineOGBook852 
addr1qythgme4ytz3smd2vudy5kandl0emkyxfpxhnyrr7vfmw43dtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5s3m30c0: RaffleforUkraineOGBook1002 
addr1qythgme4ytz3smd2vudy5kandl0emkyxfpxhnyrr7vfmw43dtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5s3m30c0: RaffleforUkraineOGBook1004 
addr1qythgme4ytz3smd2vudy5kandl0emkyxfpxhnyrr7vfmw43dtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5s3m30c0: RaffleforUkraineOGBook1039 
addr1qythgme4ytz3smd2vudy5kandl0emkyxfpxhnyrr7vfmw43dtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5s3m30c0: RaffleforUkraineOGBook1162 
addr1qythgme4ytz3smd2vudy5kandl0emkyxfpxhnyrr7vfmw43dtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5s3m30c0: RaffleforUkraineOGBook1221 
addr1qythgme4ytz3smd2vudy5kandl0emkyxfpxhnyrr7vfmw43dtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5s3m30c0: RaffleforUkraineOGBook1395 
addr1qythgme4ytz3smd2vudy5kandl0emkyxfpxhnyrr7vfmw43dtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5s3m30c0: RaffleforUkraineOGBook1873 
addr1qythgme4ytz3smd2vudy5kandl0emkyxfpxhnyrr7vfmw43dtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5s3m30c0: RaffleforUkraineOGBook198 
addr1qythgme4ytz3smd2vudy5kandl0emkyxfpxhnyrr7vfmw43dtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5s3m30c0: RaffleforUkraineOGBook295 
addr1qythgme4ytz3smd2vudy5kandl0emkyxfpxhnyrr7vfmw43dtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5s3m30c0: RaffleforUkraineOGBook408 
addr1qx7zet3t97mgxyejwyzgx8gtte0v62dwmely0k269x7ke3739lhuyzvw87kuzm06kkdea4tgtq8gry59t5r9meu38kvq0ws96j: RaffleforUkraineOGBook1124 
addr1qx7zet3t97mgxyejwyzgx8gtte0v62dwmely0k269x7ke3739lhuyzvw87kuzm06kkdea4tgtq8gry59t5r9meu38kvq0ws96j: RaffleforUkraineOGBook1369 
addr1qx7zet3t97mgxyejwyzgx8gtte0v62dwmely0k269x7ke3739lhuyzvw87kuzm06kkdea4tgtq8gry59t5r9meu38kvq0ws96j: RaffleforUkraineOGBook163 
addr1qx7zet3t97mgxyejwyzgx8gtte0v62dwmely0k269x7ke3739lhuyzvw87kuzm06kkdea4tgtq8gry59t5r9meu38kvq0ws96j: RaffleforUkraineOGBook1749 
addr1qx7zet3t97mgxyejwyzgx8gtte0v62dwmely0k269x7ke3739lhuyzvw87kuzm06kkdea4tgtq8gry59t5r9meu38kvq0ws96j: RaffleforUkraineOGBook1789 
addr1qx7zet3t97mgxyejwyzgx8gtte0v62dwmely0k269x7ke3739lhuyzvw87kuzm06kkdea4tgtq8gry59t5r9meu38kvq0ws96j: RaffleforUkraineOGBook1867 
addr1qx7zet3t97mgxyejwyzgx8gtte0v62dwmely0k269x7ke3739lhuyzvw87kuzm06kkdea4tgtq8gry59t5r9meu38kvq0ws96j: RaffleforUkraineOGBook554 
addr1qx7zet3t97mgxyejwyzgx8gtte0v62dwmely0k269x7ke3739lhuyzvw87kuzm06kkdea4tgtq8gry59t5r9meu38kvq0ws96j: RaffleforUkraineOGBook561 
addr1qx7zet3t97mgxyejwyzgx8gtte0v62dwmely0k269x7ke3739lhuyzvw87kuzm06kkdea4tgtq8gry59t5r9meu38kvq0ws96j: RaffleforUkraineOGBook673 
addr1qx7zet3t97mgxyejwyzgx8gtte0v62dwmely0k269x7ke3739lhuyzvw87kuzm06kkdea4tgtq8gry59t5r9meu38kvq0ws96j: RaffleforUkraineOGBook775 
addr1q99jd0tlmuj6fj3ptp9sn6uw970c7t9jpshs7m0t294ruaym94h7ya8ghwk3tsrvulyhsw5w63cys7vf4k09kl7m3jmq22j2ym: RaffleforUkraineOGBook1069 
addr1q99jd0tlmuj6fj3ptp9sn6uw970c7t9jpshs7m0t294ruaym94h7ya8ghwk3tsrvulyhsw5w63cys7vf4k09kl7m3jmq22j2ym: RaffleforUkraineOGBook1083 
